"REGION_TYPE","YEAR","WEEK","TOTAL_SPECIMENS","A_2009_H1N1","A_H3","B","H3N2v","TOTAL_POSITIVES","PERCENT_POSITIVES"
"National",2010,37,2698,5,31,6,0,42,0.0155670867309118
"National",2010,38,2960,0,30,9,0,39,0.0131756756756757
"National",2010,39,2988,2,20,10,0,32,0.0107095046854083
"National",2010,40,3600,7,18,23,0,48,0.0133333333333333
"National",2010,41,4006,13,36,36,0,85,0.0212181727408887
"National",2010,42,4112,8,35,45,0,88,0.0214007782101167
"National",2010,43,4240,13,56,52,0,121,0.0285377358490566
"National",2010,44,4608,12,61,106,0,179,0.0388454861111111
"National",2010,45,5377,15,79,163,0,257,0.0477961688673982
"National",2010,46,5578,23,123,237,0,383,0.0686626030835425
"National",2010,47,5533,11,155,265,0,431,0.0778962588107717
"National",2010,48,5975,35,176,260,0,471,0.0788284518828452
"National",2010,49,6361,48,359,310,0,717,0.112718126080805
"National",2010,50,7692,83,551,542,0,1176,0.152886115444618
"National",2010,51,8172,112,789,689,0,1590,0.194566813509545
"National",2010,52,9030,197,1015,648,0,1860,0.205980066445183
"National",2011,1,10441,346,1159,572,0,2077,0.198927305813619
"National",2011,2,10190,557,1216,585,0,2358,0.231403336604514
"National",2011,3,11067,832,1437,741,0,3010,0.271979759645794
"National",2011,4,12950,1074,1524,972,0,3570,0.275675675675676
"National",2011,5,13875,1231,1481,1127,0,3839,0.276684684684685
"National",2011,6,14647,1267,1488,1177,0,3932,0.26845087731276
"National",2011,7,16401,1432,1570,1354,0,4356,0.265593561368209
"National",2011,8,15033,1170,1235,1204,0,3609,0.240071841947715
"National",2011,9,12990,954,997,884,0,2835,0.21824480369515
"National",2011,10,11625,714,858,691,0,2263,0.194666666666667
"National",2011,11,9860,457,609,563,0,1629,0.165212981744422
"National",2011,12,8443,264,426,406,0,1096,0.129811678313396
"National",2011,13,7107,168,283,293,0,744,0.104685521317011
"National",2011,14,6481,87,208,254,0,549,0.0847091498225582
"National",2011,15,5615,46,141,159,0,346,0.0616206589492431
"National",2011,16,4642,30,60,86,0,176,0.037914691943128
"National",2011,17,3976,10,28,63,0,101,0.0254024144869215
"National",2011,18,3611,11,23,25,0,59,0.0163389642758239
"National",2011,19,3271,2,11,15,0,28,0.00856007337205747
"National",2011,20,3079,3,6,13,0,22,0.00714517700552127
"National",2011,21,2705,3,4,5,0,12,0.0044362292051756
"National",2011,22,2442,2,0,6,0,8,0.00327600327600328
"National",2011,23,2259,0,0,4,0,4,0.00177069499778663
"National",2011,24,2109,2,1,0,0,3,0.00142247510668563
"National",2011,25,1967,0,0,3,0,3,0.00152516522623284
"National",2011,26,1560,2,0,1,0,3,0.00192307692307692
"National",2011,27,1498,2,1,1,0,4,0.00267022696929239
"National",2011,28,1500,0,4,4,0,8,0.00533333333333333
"National",2011,29,1500,0,4,5,0,9,0.006
"National",2011,30,1307,0,1,1,0,2,0.00153022188217292
"National",2011,31,1428,3,2,3,0,8,0.00560224089635854
"National",2011,32,1433,1,3,2,0,6,0.00418702023726448
"National",2011,33,1506,2,5,3,0,10,0.00664010624169987
"National",2011,34,1705,0,5,6,0,11,0.00645161290322581
"National",2011,35,1925,2,3,1,0,6,0.00311688311688312
"National",2011,36,2056,1,3,2,0,6,0.00291828793774319
"National",2011,37,2326,0,6,4,0,10,0.00429922613929493
"National",2011,38,2612,0,5,8,0,13,0.00497702909647779
"National",2011,39,2920,1,18,6,0,25,0.00856164383561644
"National",2011,40,3192,3,14,9,0,26,0.0081453634085213
"National",2011,41,3316,0,9,8,0,17,0.00512665862484922
"National",2011,42,3425,2,10,8,0,20,0.00583941605839416
"National",2011,43,3749,0,12,12,0,24,0.00640170712189917
"National",2011,44,4075,1,17,9,0,27,0.00662576687116564
"National",2011,45,4326,2,15,15,0,32,0.00739713361072584
"National",2011,46,4580,0,15,12,0,27,0.00589519650655022
"National",2011,47,4108,3,23,19,0,45,0.0109542356377799
"National",2011,48,4669,2,32,17,0,51,0.0109231098736346
"National",2011,49,4710,5,38,20,0,63,0.0133757961783439
"National",2011,50,4906,4,78,20,0,102,0.0207908683245006
"National",2011,51,5151,7,104,24,0,135,0.0262085032032615
"National",2011,52,5470,4,107,18,0,129,0.0235831809872029
"National",2012,1,5690,16,101,22,0,139,0.0244288224956063
"National",2012,2,5341,31,142,15,0,188,0.0351994008612619
"National",2012,3,5364,50,195,18,0,263,0.0490305741983594
"National",2012,4,5840,84,257,32,0,373,0.0638698630136986
"National",2012,5,6251,128,365,43,0,536,0.0857462805951048
"National",2012,6,6413,167,419,56,0,642,0.100109153282395
"National",2012,7,7298,233,508,71,0,812,0.111263359824609
"National",2012,8,7596,319,690,78,0,1087,0.143101632438125
"National",2012,9,8485,488,988,112,0,1588,0.187153800824985
"National",2012,10,8459,538,1232,123,0,1893,0.223785317413406
"National",2012,11,8822,599,1396,199,0,2194,0.248696440716391
"National",2012,12,7974,445,1086,237,0,1768,0.221720591923752
"National",2012,13,7450,311,719,244,0,1274,0.171006711409396
"National",2012,14,6695,266,629,275,0,1170,0.174757281553398
"National",2012,15,6304,188,591,298,0,1077,0.170843908629442
"National",2012,16,5689,119,540,314,0,973,0.171031815784848
"National",2012,17,4980,74,361,274,0,709,0.142369477911647
"National",2012,18,4522,53,299,252,0,604,0.133569217160548
"National",2012,19,4061,33,229,266,0,528,0.130017237133711
"National",2012,20,3811,23,162,254,0,439,0.115192862765678
"National",2012,21,3729,11,76,260,0,347,0.0930544381871816
"National",2012,22,3347,3,78,228,0,309,0.0923214819241111
"National",2012,23,3055,7,45,197,0,249,0.081505728314239
"National",2012,24,2898,2,52,179,0,233,0.08040027605245
"National",2012,25,2529,2,36,103,0,141,0.0557532621589561
"National",2012,26,2255,0,17,113,0,130,0.057649667405765
"National",2012,27,1970,1,15,59,0,75,0.0380710659898477
"National",2012,28,2052,4,33,41,1,79,0.0384990253411306
"National",2012,29,2100,0,18,48,0,66,0.0314285714285714
"National",2012,30,2048,2,49,32,9,92,0.044921875
"National",2012,31,2161,1,65,33,95,194,0.0897732531235539
"National",2012,32,2294,1,62,25,73,161,0.0701830863121186
"National",2012,33,2501,6,69,27,52,154,0.0615753698520592
"National",2012,34,2705,6,48,23,15,92,0.0340110905730129
"National",2012,35,2746,1,37,19,12,69,0.0251274581209031
"National",2012,36,2914,1,34,32,5,72,0.0247083047357584
"National",2012,37,3280,0,16,44,2,62,0.0189024390243902
"National",2012,38,3501,5,43,42,0,90,0.025706940874036
"National",2012,39,3649,7,42,64,0,113,0.0309673883255687
"National",2012,40,4513,9,73,78,0,160,0.0354531353866608
"National",2012,41,4914,7,67,95,0,169,0.0343915343915344
"National",2012,42,5249,4,131,122,0,257,0.048961706991808
"National",2012,43,5306,3,152,141,0,296,0.055785902751602
"National",2012,44,5406,4,188,154,0,346,0.0640029596744358
"National",2012,45,6446,5,277,231,0,513,0.07958423828731
"National",2012,46,6721,8,404,267,2,681,0.101324207707186
"National",2012,47,7433,7,591,364,0,962,0.129422844073725
"National",2012,48,9333,19,1022,503,0,1544,0.16543447980285
"National",2012,49,12060,39,1787,693,0,2519,0.208872305140962
"National",2012,50,14711,53,2662,856,0,3571,0.242743525253212
"National",2012,51,16904,55,3703,1154,0,4912,0.290582110743019
"National",2012,52,18139,88,3825,1199,0,5112,0.281823694801257
"National",2013,1,19673,95,3723,1146,0,4964,0.252325522289432
"National",2013,2,22224,126,4073,1237,0,5436,0.244600431965443
"National",2013,3,20931,127,3232,1142,0,4501,0.215039892981702
"National",2013,4,18668,145,2527,1189,0,3861,0.206824512534819
"National",2013,5,16228,143,1952,1158,0,3253,0.2004560019719
"National",2013,6,14491,121,1205,1188,0,2514,0.173486991926023
"National",2013,7,12691,78,844,1194,0,2116,0.166732329997636
"National",2013,8,11354,78,575,1225,0,1878,0.165404262814867
"National",2013,9,10504,60,417,1181,0,1658,0.157844630616908
"National",2013,10,10165,70,330,1204,0,1604,0.157796360059026
"National",2013,11,9559,49,212,1155,0,1416,0.148132649858772
"National",2013,12,8647,36,179,1017,0,1232,0.142477159708569
"National",2013,13,7722,41,124,853,0,1018,0.131831131831132
"National",2013,14,6782,30,121,687,0,838,0.123562370982011
"National",2013,15,6198,48,69,489,0,606,0.0977734753146176
"National",2013,16,5575,30,79,332,0,441,0.0791031390134529
"National",2013,17,5095,34,60,249,0,343,0.0673209028459274
"National",2013,18,4919,18,55,222,0,295,0.059971538930677
"National",2013,19,4473,13,36,166,0,215,0.0480661748267382
"National",2013,20,4102,11,24,126,0,161,0.0392491467576792
"National",2013,21,4097,15,21,123,0,159,0.0388088845496705
"National",2013,22,3587,14,14,95,0,123,0.0342904934485643
"National",2013,23,3576,14,13,82,0,109,0.0304809843400447
"National",2013,24,3254,21,12,63,0,96,0.0295021511985249
"National",2013,25,3227,29,12,55,2,98,0.0303687635574837
"National",2013,26,2999,34,5,28,6,73,0.0243414471490497
"National",2013,27,2579,17,14,25,4,60,0.0232648313299729
"National",2013,28,2653,23,30,14,0,67,0.0252544289483603
"National",2013,29,2504,21,13,14,1,49,0.0195686900958466
"National",2013,30,2316,20,11,10,1,42,0.0181347150259067
"National",2013,31,2549,23,14,20,2,59,0.0231463318948607
"National",2013,32,2494,28,11,12,0,51,0.0204490777866881
"National",2013,33,2304,16,3,12,0,31,0.0134548611111111
"National",2013,34,2560,12,4,3,1,20,0.0078125
"National",2013,35,3006,42,4,10,1,57,0.0189620758483034
"National",2013,36,3148,25,6,13,0,44,0.0139771283354511
"National",2013,37,3602,49,7,7,0,63,0.0174902831760133
"National",2013,38,3888,38,8,22,0,68,0.0174897119341564
"National",2013,39,4596,55,11,20,0,86,0.0187119234116623
"National",2013,40,4911,69,13,28,1,111,0.0226023213194869
"National",2013,41,5808,57,24,32,0,113,0.0194559228650138
"National",2013,42,5801,49,16,26,0,91,0.0156869505257714
"National",2013,43,5886,73,21,14,0,108,0.018348623853211
"National",2013,44,6316,88,26,43,0,157,0.0248575047498417
"National",2013,45,6945,157,29,43,0,229,0.0329733621310295
"National",2013,46,7203,272,21,37,0,330,0.0458142440649729
"National",2013,47,7839,425,22,57,0,504,0.0642939150401837
"National",2013,48,7433,496,29,42,0,567,0.076281447598547
"National",2013,49,10169,1023,34,69,0,1126,0.110728685219786
"National",2013,50,10837,1324,56,52,0,1432,0.132139891113777
"National",2013,51,14015,2231,51,67,0,2349,0.167606136282554
"National",2013,52,15748,3004,47,93,0,3144,0.199644399288799
"National",2014,1,17779,3477,84,88,0,3649,0.205242139602902
"National",2014,2,18253,3544,106,91,0,3741,0.204952610529776
"National",2014,3,17480,3263,126,131,0,3520,0.20137299771167
"National",2014,4,16468,2643,132,185,0,2960,0.179742530969152
"National",2014,5,14618,1945,94,175,0,2214,0.151457107675469
"National",2014,6,12995,1571,130,219,0,1920,0.147749134282416
"National",2014,7,11892,1133,102,227,0,1462,0.122939791456441
"National",2014,8,11127,840,93,248,0,1181,0.106138222342051
"National",2014,9,10252,581,102,274,0,957,0.0933476394849785
"National",2014,10,9441,413,102,301,0,816,0.0864315220845249
"National",2014,11,8922,351,138,334,0,823,0.0922438915041471
"National",2014,12,8216,212,164,464,0,840,0.102239532619279
"National",2014,13,7905,156,184,525,0,865,0.109424414927261
"National",2014,14,7531,116,236,595,0,947,0.12574691276059
"National",2014,15,7179,55,227,624,0,906,0.126201420810698
"National",2014,16,6648,36,222,516,0,774,0.116425992779783
"National",2014,17,6317,35,191,469,0,695,0.11002057938895
"National",2014,18,5865,13,151,447,0,611,0.104177323103154
"National",2014,19,5436,9,130,354,0,493,0.090691685062546
"National",2014,20,5315,8,119,322,0,449,0.08447789275635
"National",2014,21,4833,4,105,236,0,345,0.0713842333954066
"National",2014,22,4757,3,115,225,0,343,0.0721042673954173
"National",2014,23,4310,3,97,160,0,260,0.0603248259860789
"National",2014,24,4140,3,101,140,0,244,0.0589371980676328
"National",2014,25,3877,3,69,113,0,185,0.0477173071962858
"National",2014,26,3434,1,45,100,0,146,0.0425160163075131
"National",2014,27,3144,2,47,83,0,132,0.0419847328244275
"National",2014,28,3057,3,55,66,0,124,0.0405626431141642
"National",2014,29,3188,0,41,61,0,102,0.0319949811794228
"National",2014,30,3127,2,37,50,0,89,0.0284617844579469
"National",2014,31,2939,2,53,27,0,82,0.027900646478394
"National",2014,32,2973,5,44,23,1,73,0.0245543222334342
"National",2014,33,3270,1,54,36,0,91,0.02782874617737
"National",2014,34,3339,3,45,42,1,91,0.0272536687631027
"National",2014,35,3973,6,62,42,0,110,0.0276868864837654
"National",2014,36,4227,7,44,34,0,85,0.0201088242252188
"National",2014,37,5324,1,66,31,0,98,0.0184072126220887
"National",2014,38,5681,6,81,53,0,140,0.0246435486710086
"National",2014,39,5905,1,87,65,0,153,0.0259102455546147
"National",2014,40,9567,2,100,110,0,212,0.0221595066373994
"National",2014,41,11036,5,125,160,0,290,0.0262776368249366
"National",2014,42,11729,7,226,164,1,398,0.0339329866143746
"National",2014,43,11385,5,212,127,0,344,0.0302151954325867
"National",2014,44,11531,4,295,136,0,435,0.0377243951088371
"National",2014,45,12918,6,506,155,0,667,0.0516333797801517
"National",2014,46,13777,8,633,147,0,788,0.0571967772374247
"National",2014,47,16166,5,1002,163,0,1170,0.0723741185203514
"National",2014,48,18504,8,1538,200,0,1746,0.0943579766536965
"National",2014,49,23068,13,2585,249,0,2847,0.123417721518987
"National",2014,50,29223,6,3823,315,0,4144,0.141806111624405
"National",2014,51,37114,4,4978,325,0,5307,0.142991862908875
"National",2014,52,42518,10,5549,392,0,5951,0.13996425043511
"National",2014,53,41550,10,5260,409,0,5679,0.136678700361011
"National",2015,1,38508,11,4908,372,0,5291,0.137400020774904
"National",2015,2,35598,9,4586,473,0,5068,0.142367548738693
"National",2015,3,34194,4,3918,548,0,4470,0.130724688541849
"National",2015,4,32003,11,3475,606,0,4092,0.127863012842546
"National",2015,5,29581,10,2719,723,0,3452,0.11669652817687
"National",2015,6,26994,7,1746,869,0,2622,0.097132696154701
"National",2015,7,24293,10,1242,1010,0,2262,0.0931132424978389
"National",2015,8,22294,18,954,1127,0,2099,0.0941508926168476
"National",2015,9,20420,5,774,1352,0,2131,0.10435847208619
"National",2015,10,19845,8,458,1656,0,2122,0.106928697404888
"National",2015,11,18419,2,340,1565,0,1907,0.103534393832456
"National",2015,12,16980,7,227,1479,0,1713,0.100883392226148
"National",2015,13,15125,4,168,1377,0,1549,0.102413223140496
"National",2015,14,14743,8,87,1272,0,1367,0.0927219697483552
"National",2015,15,13389,13,66,969,0,1048,0.0782732093509597
"National",2015,16,11873,2,48,683,0,733,0.0617367135517561
"National",2015,17,10770,4,26,544,0,574,0.0532961931290622
"National",2015,18,9784,2,12,494,0,508,0.0519215044971382
"National",2015,19,9188,2,16,340,0,358,0.0389638659120592
"National",2015,20,8412,1,21,267,0,289,0.0343556823585354
"National",2015,21,7748,1,20,184,0,205,0.0264584408879711
"National",2015,22,6993,0,20,152,0,172,0.0245960245960246
"National",2015,23,6725,1,20,129,0,150,0.0223048327137546
"National",2015,24,6133,2,50,78,0,130,0.0211968041741399
"National",2015,25,5558,0,51,46,0,97,0.0174523209787693
"National",2015,26,5248,2,59,33,0,94,0.0179115853658537
"National",2015,27,5260,4,40,36,1,81,0.0153992395437262
"National",2015,28,5039,3,35,37,0,75,0.0148839055368129
"National",2015,29,4811,2,31,21,0,54,0.0112242776969445
"National",2015,30,4785,0,44,9,0,53,0.0110762800417973
"National",2015,31,4790,4,50,18,0,72,0.0150313152400835
"National",2015,32,4910,3,34,14,0,51,0.0103869653767821
"National",2015,33,5170,2,55,16,0,73,0.0141199226305609
"National",2015,34,5381,3,44,20,0,67,0.0124512172458651
"National",2015,35,6115,3,64,29,0,96,0.015699100572363
"National",2015,36,6786,1,74,38,0,113,0.0166519304450339
"National",2015,37,7694,4,91,47,0,142,0.0184559396932675
"National",2015,38,8855,1,58,46,0,105,0.0118577075098814
"National",2015,39,9876,7,77,59,0,143,0.0144795463750506
